,Feature,ExcessCorr
6552,CF*BD,-0.00023815685682331868
6553,CB_l*CL,-0.00023899050182305247
6554,AY*BR_2,-0.00023906096019618746
6555,CB_l*DV,-0.0002393004063979198
6556,AZ/DV_l,-0.00023938931575410042
6557,FS/DV_l,-0.0002395428817334776
6558,AZ_2/FC,-0.00024002002551886292
6559,DV/EG_2,-0.00024125469799457278
6560,AZ_2/EG,-0.00024141727659815395
6561,BR_2*CC_2,-0.00024415382711021234
6562,CH/CL_l,-0.00024477055339142606
6563,BD_2/DL,-0.0002454410990580351
6564,EG*DV_2,-0.0002457059471964275
6565,AX/EJ_2,-0.00024614576536593526
6566,DY*DF,-0.00024663459831500336
6567,DF*DY,-0.00024663459831500336
6568,CL_l*FS,-0.0002467874026929078
6569,FR/EG_l,-0.00024744638483245596
6570,EG_l*CS,-0.00024854493630042116
6571,GE/EG_l,-0.0002493076080317645
6572,GF/AH,-0.00024938029646308715
6573,AR_l/CU,-0.0002502890763721949
6574,BR/DV,-0.0002505323785242609
6575,CF_2*EG_2,-0.0002505667243430029
6576,CL/EG_l,-0.0002512788631750124
6577,FR/DV_l,-0.00025159089673799234
6578,DV_l*BC,-0.00025205552380650614
6579,BC/DV_l,-0.0002522908838395177
6580,GB/EG_l,-0.00025482466636871093
6581,CB_l*GE,-0.0002554761763010503
6582,BR/GH_2,-0.000255824480111291
6583,CL*FS,-0.0002568264504868312
6584,FS*CL,-0.0002568264504868312
6585,BR_2*EP_2,-0.0002584113190668338
6586,FI*AX_2,-0.0002588211906642355
6587,BZ_l/AR,-0.00025949137099355937
6588,AZ*AH,-0.0002595828824093723
6589,AH*AZ,-0.0002595828824093723
6590,BR_2/GH,-0.00026008410641137174
6591,BR_2*CL_2,-0.0002605153073753884
6592,DN*CL_2,-0.0002620434797094075
6593,BR/CH_l,-0.0002626389015060685
6594,CF/AY_2,-0.0002635935577520905
6595,CL_l/CH,-0.0002646852484337532
6596,DU/AX_l,-0.00026495494890493854
6597,CL*AZ_2,-0.0002671491283828249
6598,CL_l*CH,-0.00026831524398597306
6599,BR/CH,-0.00026852188182778774
6600,AZ*CL,-0.00026881922200429993
6601,CL*AZ,-0.00026881922200429993
6602,EJ*DY,-0.00027074145484217056
6603,DY*EJ_2,-0.00027074145484217056
6604,DY*EJ,-0.00027074145484217056
6605,EJ_l*DY,-0.00027074145484217577
6606,CH_l*FD_l,-0.00027152146812450817
6607,FS/CL,-0.00027238591622865066
6608,DV_l*CL,-0.0002724818217160567
6609,EU/DN,-0.00027288925773586445
6610,CL_2*DN_2,-0.00027444867981709097
6611,CB/FC_2,-0.0002754748945662821
6612,GI/GH_2,-0.00027617881374880464
6613,EG/FS_l,-0.0002764166916151154
6614,FS_l*CL,-0.0002765747256591458
6615,DE_l*DF_l,-0.00027714832920684544
6616,CH_l*CL_l,-0.0002775202029230901
6617,EG_l*GI_l,-0.0002777665403745711
6618,EB*BD_2,-0.00027781987313995476
6619,CS_l*EJ_l,-0.0002783271653084042
6620,CS_l*EJ,-0.0002783271653084146
6621,FD/DV_l,-0.0002791905272497945
6622,BN_l*DU,-0.00027999576898632417
6623,BR/CB_l,-0.0002801332986893147
6624,FS/CL_l,-0.00028082154218293695
6625,GH_l/EP,-0.0002809618287345633
6626,CL_l*DV,-0.0002824688263312779
6627,CB/EU_l,-0.00028281261744970065
6628,CW_l*FR,-0.0002837412563406593
6629,FC_2/CH,-0.00028600386982311583
6630,FD/BD_l,-0.00028729383936224734
6631,DF/GE_l,-0.0002887584835026798
6632,BC/EU_l,-0.00028927579859684
6633,DN/EG_l,-0.00029000781914451194
